year,locality_id,pland_00_water,pland_01_evergreen_needleleaf,pland_02_evergreen_broadleaf,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_06_closed_shrubland,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2017,L2385607,0.16129032258064516,0,0,0,0,0,0,0,0.12903225806451613,0.03225806451612903,0.06451612903225806,0,0.45161290322580644,0,0.16129032258064516,8529,7.934321514876505,5.944448407136019
2017,L6013009,0.5625,0,0,0,0,0.09375,0,0.125,0,0,0.21875,0,0,0,0,8885,24.45333925658475,2.2400544327239795
2017,L2215354,0.03333333333333333,0,0,0,0,0,0,0.16666666666666666,0.26666666666666666,0.5,0,0.03333333333333333,0,0,0,8662,88.44239779388597,2.744072152903438
2017,L2527772,0.125,0.0625,0,0,0,0.03125,0,0.3125,0.0625,0,0.40625,0,0,0,0,8891,2.229987118711377,1.2461602209609508
2017,L5917694,0.6,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.03333333333333333,0,0.03333333333333333,8935,0.28321168639978667,0.3548820722749225
2017,L4203275,0.03125,0,0,0,0.125,0.0625,0,0.46875,0.0625,0,0,0,0.25,0,0,8939,8.75740015822857,3.346476411045526
2017,L5974339,0.5483870967741935,0.03225806451612903,0.16129032258064516,0,0,0.06451612903225806,0,0.0967741935483871,0,0,0.06451612903225806,0,0.03225806451612903,0,0,8943,5.177810275250465,3.4477138883109633
2017,L1647829,0.3793103448275862,0,0,0,0,0,0,0.06896551724137931,0,0,0.3793103448275862,0,0.1724137931034483,0,0,8232,1.5464018702890245,1.158632853924002
2017,L5979865,0.03225806451612903,0.06451612903225806,0.03225806451612903,0,0.06451612903225806,0.03225806451612903,0,0.41935483870967744,0,0,0.3548387096774194,0,0,0,0,8956,7.099089282303358,2.2981529442903663
2017,L1160126,0.03125,0.03125,0,0,0.03125,0.53125,0,0.3125,0,0.0625,0,0,0,0,0,8472,8.613096439705133,5.704996021116411
2017,L5989630,0.625,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,9047,0.1783180491963814,0.49564899648891303
2017,L1896631,0.3333333333333333,0.1,0,0,0,0,0,0.13333333333333333,0,0,0.4,0,0.03333333333333333,0,0,9048,3.6142614981336867,3.797605138464902
2017,L1761769,0.5161290322580645,0,0,0,0,0,0,0.3548387096774194,0,0,0.12903225806451613,0,0,0,0,9368,0.8037038585102612,0.9459780113914973
2017,L1310505,0.10344827586206896,0,0,0,0,0,0,0.034482758620689655,0.1724137931034483,0,0.3448275862068966,0,0.3448275862068966,0,0,9370,14.936888015510236,15.705917609938012
2017,L1125706,0.26666666666666666,0,0.03333333333333333,0,0,0,0,0,0.1,0,0.6,0,0,0,0,9234,2.49875979889756,1.991583806743917
2017,L474700,0.03225806451612903,0,0,0,0.03225806451612903,0,0,0.9032258064516129,0,0,0,0.03225806451612903,0,0,0,9282,69.62556301339026,11.986035769997452
2017,L1747910,0.0967741935483871,0,0.41935483870967744,0,0,0,0,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.3225806451612903,0,0,0,0,9377,8.40695732256672,5.50280433030119
2017,L132605,0.7,0,0,0,0,0.03333333333333333,0,0.26666666666666666,0,0,0,0,0,0,0,9378,33.80359724798411,9.547498492829734
2017,L2903590,0.1,0,0,0,0.13333333333333333,0.3,0,0.43333333333333335,0.03333333333333333,0,0,0,0,0,0,9154,57.52739034463501,6.694852789183663
2017,L5981196,0.06666666666666667,0,0,0,0,0,0,0.36666666666666664,0,0.2,0.1,0,0.26666666666666666,0,0,9382,72.6004357857944,5.023922025274026
