locality_id,year,pland_08,pland_09,pland_13,pland_02,pland_04,pland_00,pland_11,pland_05,pland_10,pland_01,pland_12,pland_14,pland_15,pland_03,pland_06
L1022737,2018,0.9,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0
L1022999,2011,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
L1022999,2012,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
L1022999,2013,0.19047619047619047,0.23809523809523808,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
L1022999,2014,0.19047619047619047,0.23809523809523808,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
L1023295,2019,0.21052631578947367,0.05263157894736842,0,0,0,0,0,0.05263157894736842,0,0,0.631578947368421,0.05263157894736842,0,0,0
L1024386,2018,0.1,0.1,0.55,0,0,0.15,0.1,0,0,0,0,0,0,0,0
L1025259,2018,0.3,0.1,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0
L1025562,2013,0.7222222222222222,0,0,0,0,0.2222222222222222,0.05555555555555555,0,0,0,0,0,0,0,0
L1025562,2015,0.7777777777777778,0,0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0,0
L1025562,2016,0.7777777777777778,0,0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0,0
L1025562,2018,0.7222222222222222,0,0,0,0,0.2222222222222222,0.05555555555555555,0,0,0,0,0,0,0,0
L1025562,2019,0.7222222222222222,0,0,0,0,0.2222222222222222,0.05555555555555555,0,0,0,0,0,0,0,0
L1027493,2013,0.75,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0
L1027493,2014,0.75,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0
L1028438,2017,0,0.9473684210526315,0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0
L1028813,2018,0,0.6666666666666666,0,0,0,0.047619047619047616,0,0,0.2857142857142857,0,0,0,0,0,0
L1028832,2018,0.42857142857142855,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0
L1029193,2011,0.38095238095238093,0.09523809523809523,0,0,0,0.38095238095238093,0.14285714285714285,0,0,0,0,0,0,0,0
L1029916,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1029916,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1029916,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1029916,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1029921,2019,0,0,0,0,0.10526315789473684,0,0,0,0,0,0.8947368421052632,0,0,0,0
L1029955,2016,0,0,0.2,0,0,0,0,0,0,0,0.7,0.1,0,0,0
L1029955,2017,0,0,0.2,0,0,0,0,0,0,0,0.7,0.1,0,0,0
L1029968,2016,0.15789473684210525,0.15789473684210525,0,0,0.05263157894736842,0,0.2631578947368421,0,0.10526315789473684,0,0.10526315789473684,0.15789473684210525,0,0,0
L1029968,2017,0.15789473684210525,0.21052631578947367,0,0,0.05263157894736842,0,0.2631578947368421,0,0.05263157894736842,0,0.10526315789473684,0.15789473684210525,0,0,0
L1029968,2018,0.21052631578947367,0.15789473684210525,0,0,0.05263157894736842,0,0.2631578947368421,0,0.05263157894736842,0,0.10526315789473684,0.15789473684210525,0,0,0
L1029968,2019,0.21052631578947367,0.15789473684210525,0,0,0.05263157894736842,0,0.2631578947368421,0,0.05263157894736842,0,0.10526315789473684,0.15789473684210525,0,0,0
L1030229,2014,0,0.15,0.1,0,0,0.1,0.55,0,0.1,0,0,0,0,0,0
L1030229,2019,0,0.15,0.1,0,0,0.1,0.6,0,0.05,0,0,0,0,0,0
L1030245,2011,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0,0,0
